"No.","Time","Source","Destination","Protocol","Length","Info"
"302","17.385705","40.126.24.81","192.168.43.92","TCP","66","443  >  3140 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM"
"303","17.385776","192.168.43.92","40.126.24.81","TCP","54","3140  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"304","17.386783","192.168.43.92","40.126.24.81","TLSv1.2","283","Client Hello"
"305","17.460303","40.126.24.149","192.168.43.92","TCP","1454","443  >  3139 [ACK] Seq=1 Ack=289 Win=12582912 Len=1400 [TCP segment of a reassembled PDU]"
"306","17.460303","40.126.24.149","192.168.43.92","TCP","1454","443  >  3139 [ACK] Seq=1401 Ack=289 Win=12582912 Len=1400 [TCP segment of a reassembled PDU]"
"307","17.460499","192.168.43.92","40.126.24.149","TCP","54","3139  >  443 [ACK] Seq=289 Ack=2801 Win=524800 Len=0"
"308","17.460786","40.126.24.149","192.168.43.92","TLSv1.2","1210","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"309","17.471805","192.168.43.92","40.126.24.149","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"310","17.563879","40.126.24.81","192.168.43.92","TCP","1454","443  >  3140 [ACK] Seq=1 Ack=230 Win=4194048 Len=1400 [TCP segment of a reassembled PDU]"
"311","17.563879","40.126.24.81","192.168.43.92","TCP","1454","443  >  3140 [ACK] Seq=1401 Ack=230 Win=4194048 Len=1400 [TCP segment of a reassembled PDU]"
"312","17.564122","192.168.43.92","40.126.24.81","TCP","54","3140  >  443 [ACK] Seq=230 Ack=2801 Win=65792 Len=0"
"313","17.575837","40.126.24.81","192.168.43.92","TLSv1.2","1210","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"314","17.576499","20.189.173.22","192.168.43.92","TCP","66","443  >  3141 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM"
"315","17.576716","192.168.43.92","20.189.173.22","TCP","54","3141  >  443 [ACK] Seq=1 Ack=1 Win=65024 Len=0"
"316","17.626170","192.168.43.92","40.126.24.81","TCP","54","3140  >  443 [ACK] Seq=230 Ack=3957 Win=64512 Len=0"
"317","17.677191","192.168.43.92","40.126.24.81","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"318","17.679233","192.168.43.92","20.189.173.22","TLSv1.2","269","Client Hello"
"319","17.923138","192.168.43.92","40.126.24.149","TCP","212","[TCP Retransmission] 3139  >  443 [PSH, ACK] Seq=289 Ack=3957 Win=523776 Len=158"
"320","17.959909","20.189.173.22","192.168.43.92","TCP","1454","443  >  3141 [ACK] Seq=1 Ack=216 Win=524544 Len=1400 [TCP segment of a reassembled PDU]"
"321","17.960019","20.189.173.22","192.168.43.92","TCP","1454","443  >  3141 [ACK] Seq=1401 Ack=216 Win=524544 Len=1400 [TCP segment of a reassembled PDU]"
"322","17.960051","192.168.43.92","20.189.173.22","TCP","54","3141  >  443 [ACK] Seq=216 Ack=2801 Win=65792 Len=0"
